agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2022,899000,371000,"34 By chapter 50, section 1, of the laws of 2022:
35 For services and expenses related to the consumer food services
36 program (10910).
37 Personal service--regular (50100) ... 899,000 ......... (re. $371,000)",33,34.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|899000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2021,842000,178000,"45 By chapter 50, section 1, of the laws of 2021:
AB
34 12550-10-5
DEPARTMENT OF AGRICULTURE AND MARKETS
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 For services and expenses related to the consumer food services
2 program (10910).
3 Personal service--regular (50100) ... 842,000 ......... (re. $178,000)",34,45.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|842000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2021,1671000,553000,"13 By chapter 50, section 1, of the laws of 2021:
14 For services and expenses related to the consumer food services
15 program.
16 Notwithstanding any other provision of law, the director of the budget
17 is hereby authorized to transfer up to $150,000 of this appropri-
18 ation to capital projects for motor fuel quality equipment (10910).
19 Personal service--regular (50100) ... 1,671,000 ....... (re. $553,000)",35,13.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|1671000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2020,1740000,536000,"27 By chapter 50, section 1, of the laws of 2020:
28 For services and expenses related to the consumer food services
29 program.
30 Notwithstanding any other provision of law, the director of the budget
31 is hereby authorized to transfer up to $150,000 of this appropri-
32 ation to capital projects for motor fuel quality equipment (10910).
33 Personal service--regular (50100) ... 1,740,000 ....... (re. $536,000)",35,27.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2020|1740000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2019,1222000,252000,"40 By chapter 50, section 1, of the laws of 2019:
41 For services and expenses related to the consumer food services
42 program.
43 Notwithstanding any other provision of law, the director of the budget
44 is hereby authorized to transfer up to $150,000 of this appropri-
45 ation to capital projects for motor fuel quality equipment (10910).
46 Contractual services (51000) ... 1,222,000 ............ (re. $252,000)",35,40.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2019|1222000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2023,221000,48000,"14 By chapter 50, section 1, of the laws of 2023:
15 For services and expenses related to the consumer food services
16 program (10910).
17 Personal service--regular (50100) ... 221,000 .......... (re. $48,000)",36,14.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|221000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2022,221000,37000,"26 By chapter 50, section 1, of the laws of 2022:
27 For services and expenses related to the consumer food services
28 program (10910).
29 Personal service--regular (50100) ... 221,000 .......... (re. $37,000)",36,26.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|221000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2021,207000,20000,"38 By chapter 50, section 1, of the laws of 2021:
39 For services and expenses related to the consumer food services
40 program (10910).
41 Personal service--regular (50100) ... 207,000 .......... (re. $20,000)",36,38.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|207000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,State Fair Account - 50051,10904,2024,7225000,5874000,"6 By chapter 50, section 1, of the laws of 2024:
7 For services and expenses related to the state fair program.
8 Notwithstanding any other provision of law to the contrary, the OGS
9 Interchange and Transfer Authority, and the IT Interchange and
10 Transfer Authority as defined in the 2024-25 state fiscal year state
11 operations appropriation for the budget division program of the
12 division of the budget, are deemed fully incorporated herein and a
13 part of this appropriation as if fully stated. Notwithstanding any
14 provision of law to the contrary, the director of the budget is
15 authorized to transfer up to $320,000 to local assistance for
16 services and expenses of the CCE of Cayuga County for the operation
17 of the milk bar at the state fairgrounds.
18 Notwithstanding any provision of law to the contrary, moneys hereby
19 appropriated shall be available to the program net of refunds,
20 rebates, reimbursements, credits and deductions taken by contractors
21 for fees associated with operating the state fairground facilities
22 (10904).
23 Personal service--regular (50100) ... 7,225,000 ..... (re. $5,874,000)",37,6.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10904|2024|7225000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,State Fair Account - 50051,10904,2023,7128000,5148000,"30 By chapter 50, section 1, of the laws of 2023:
31 For services and expenses related to the state fair program.
32 Notwithstanding any other provision of law to the contrary, the OGS
33 Interchange and Transfer Authority, and the IT Interchange and
34 Transfer Authority as defined in the 2023-24 state fiscal year state
35 operations appropriation for the budget division program of the
36 division of the budget, are deemed fully incorporated herein and a
37 part of this appropriation as if fully stated. Notwithstanding any
38 provision of law to the contrary, the director of the budget is
39 authorized to transfer up to $320,000 to local assistance for
40 services and expenses of the CCE of Cayuga County for the operation
41 of the milk bar at the state fairgrounds.
42 Notwithstanding any provision of law to the contrary, moneys hereby
43 appropriated shall be available to the program net of refunds,
44 rebates, reimbursements, credits and deductions taken by contractors
45 for fees associated with operating the state fairground facilities
46 (10904).
47 Personal service--regular (50100) ... 7,128,000 ..... (re. $5,148,000)",37,30.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10904|2023|7128000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15435,2025,55541000,0,"22 For additional services and expenses related 23 to the expansion of nursing programs. A 24 portion of the funds herein appropriated 25 may be transferred to the general fund-lo- 26 cal assistance account of the city univer- 27 sity of New York to accomplish the 28 purposes of this appropriation, in accord- 29 ance with a plan approved by the director 30 of the budget ................................ 1,000,000 31 For services and expenses of senior colleges 32 to be distributed in accordance with 33 general fund operating support pursuant to 34 paragraph (f) of subdivision 7 of section 35 6206 of the education law (15435) ........... 55,541,000",69,35.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15435|2025|55541000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15448,2025,265000000,0,"39 For services and expenses of the Center for 40 Byzantine and Modern Greek Studies at 41 Queens College ................................. 300,000 42 For additional operating assistance at 43 senior colleges, provided that such funds 44 shall be allocated pursuant to a plan 45 approved by the director of the budget 46 (15448) .................................... 265,000,000",69,46.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15448|2025|265000000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15489,2025,1063326000,0,"31 For expenses of fringe benefits including 32 social security payments (15489) ......... 1,063,326,000",70,32.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15489|2025|1063326000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15408,2025,192200000,0,"73 12550-10-5 CITY UNIVERSITY OF NEW YORK STATE OPERATIONS 2025-26 1 that such sale proceeds used to support 2 senior college expenses shall reduce the 3 state's net operating expense liability 4 pursuant to paragraphs 3 and 4 of subdivi- 5 sion A of section 6221 of the education 6 law in an equal amount during the 2025-26 7 academic year ............................ 2,068,836,400 8 -------------- 9 Enterprise Funds 10 CUNY Senior College Operating Fund 11 CUNY Senior College Operating Account - 60851 12 Notwithstanding paragraphs 3 and 4 of subdi- 13 vision A of section 6221 of the education 14 law, the amount appropriated herein shall 15 be made available for services and 16 expenses of senior college operations 17 during the 2024-25 academic year, provided 18 further that such appropriation shall in 19 no way increase the net operating expense 20 liability of the state (15408) ............. 192,200,000",73,20.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15408|2025|192200000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15419,2022,40000000,36667000,"14 By chapter 50, section 1, of the laws of 2022:
15 For nonrecurring strategic investments in senior colleges and communi-
16 ty colleges, including but not limited to investments to improve
17 academic programs, increase enrollment, enhance student support
18 services and modernize campus operations; provided that such funds
19 shall be allocated pursuant to a plan approved by the director of
20 the budget (15419) ... 40,000,000 ................ (re. $36,667,000)",74,14.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15419|2022|40000000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15470,2024,1000000,175000,"30 For services and expenses of science of reading microcredential
31 programs _(_1_5_4_7_0_) ... 1,000,000 ...................... (re. $175,000)",74,30.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15470|2024|1000000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15437,2022,3600000,2400000,"42 By chapter 50, section 1, of the laws of 2022, as amended by chapter 50,
43 section 1, of the laws of 2023:
AB
75 12550-10-5
CITY UNIVERSITY OF NEW YORK
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 For services and expenses related to the establishment of child care
2 centers at additional campuses and/or the expansion of existing
3 on-campus child care centers to serve additional children (15437)
4 ... 3,600,000 ..................................... (re. $2,400,000)",75,42.0,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15437|2022|3600000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,Special Revenue Funds - Federal,Correctional Services-NIC Grants Account - 25306,17559,2019,0,20094000,"30 The appropriation made by chapter 50, section 1, of the laws of 2019, as
31 supplemented by transfers in accordance with section 51 of the state
32 finance law, is hereby amended and reappropriated to read:
33 For services and expenses incurred by the department of corrections
34 and community supervision for the incarceration of illegal aliens
35 (17559).
36 Personal service (50000) .............................................
37 [34,000,000] _2_0_,_0_9_4_,_0_0_0 .......................... (re. $20,094,000)",95,30.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17559|2019|0
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,General Fund,State Purposes Account - 10050,17515,2024,11000000,11000000,"12 By chapter 50, section 1, of the laws of 2024:
13 For services and expenses or reimbursement of expenses of Medication
14 Assisted Treatment (M.A.T) programs providing treatment and services
15 to people under the custody of the department of corrections and
16 community supervision [(17515)] _(_1_7_5_0_0_).
17 Contractual services (51000) ... 11,000,000 ........ (re. $11,000,000)",97,12.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17515|2024|11000000
DIVISION OF CRIMINAL JUSTICE SERVICES,STATE OPERATIONS,Special Revenue Funds - Federal,Juvenile Justice and Delinquency Prevention Formula Account - 25436,20209,2018,0,356000,"18 The appropriation made by chapter 50, section 1, of the laws of 2018,
19 and as supplemented by a transfer in accordance with state finance
20 law, is hereby amended and reappropriated to read:
21 For services and expenses related to the federal Edward Byrne memorial
22 justice assistance formula program. Funds appropriated herein shall
23 be expended pursuant to a plan developed by the commissioner of
24 criminal justice services and approved by the director of the budg-
25 et. A portion of these funds may be transferred to aid to localities
26 and/or suballocated to other state agencies (20209).
27 Personal service (50000) ... [3,900,000] _3_,_8_6_7_,_0_0_0 .... (re. $356,000)",109,18.0,2025-26,STOPS 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|20209|2018|0
COUNCIL ON DEVELOPMENTAL DISABILITIES,STATE OPERATIONS,Special Revenue Funds - Federal,DD Planning Council Account - 25143,21100,2021,971000,52000,"34 By chapter 50, section 1, of the laws of 2021, as amended by chapter 50,
35 section 1, of the laws of 2024:
36 For services and expenses related to the provision of services to
37 individuals with developmental disabilities under the provisions of
38 the federal developmental disabilities bill of rights act of nine-
39 teen hundred seventy-five (21100).
40 Personal service (50000) ... 971,000 ................... (re. $52,000)",115,34.0,2025-26,STOPS 25-26.pdf,COUNCIL ON DEVELOPMENTAL DISABILITIES|21100|2021|971000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21852,2024,669000,50000,"4 By chapter 50, section 1, of the laws of 2024:
5 For services and expenses related to the administration of the high
6 school equivalency diploma exam (21852).
7 Personal service--regular (50100) ... 669,000 .......... (re. $50,000)",156,4.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21852|2024|669000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21852,2023,662000,195000,"13 By chapter 50, section 1, of the laws of 2023:
14 For services and expenses related to the administration of the high
15 school equivalency diploma exam (21852).
16 Personal service--regular (50100) ... 662,000 ........... (re. $195,000)",156,13.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21852|2023|662000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21852,2022,632000,247000,"22 By chapter 50, section 1, of the laws of 2022:
23 For services and expenses related to the administration of the high
24 school equivalency diploma exam (21852).
25 Personal service--regular (50100) ... 632,000 ......... (re. $247,000)",156,22.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21852|2022|632000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21852,2021,614000,178000,"31 By chapter 50, section 1, of the laws of 2021:
32 For services and expenses related to the administration of the high
33 school equivalency diploma exam (21852).
34 Personal service--regular (50100) ... 614,000 ......... (re. $178,000)",156,31.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21852|2021|614000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21713,2023,61233525,22543000,"39 By chapter 50, section 1, of the laws of 2023:
40 For the administration of grants for specific programs including, but
41 not limited to, vocational rehabilitation and supported employment.
42 Notwithstanding any inconsistent provision of law, a portion of this
43 appropriation may be suballocated to other state departments and
44 agencies, subject to the approval of the director of the budget, as
45 needed to accomplish the intent of this appropriation (21713).
46 Personal service (50000) ... 61,233,525 ............ (re. $22,543,000)",157,39.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21713|2023|61233525
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21713,2022,60384525,11495000,"29 By chapter 50, section 1, of the laws of 2022:
30 For the administration of grants for specific programs including, but
31 not limited to, vocational rehabilitation and supported employment.
32 Notwithstanding any inconsistent provision of law, a portion of this
33 appropriation may be suballocated to other state departments and
34 agencies, subject to the approval of the director of the budget, as
35 needed to accomplish the intent of this appropriation (21713).
36 Personal service (50000) ... 60,384,525 ............ (re. $11,495,000)",158,29.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21713|2022|60384525
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21856,2022,500000,305000,"40 For the administration of grants for specific programs including, but
41 not limited to, independent living centers.
42 Notwithstanding any inconsistent provision of law, a portion of this
43 appropriation may be suballocated to other state departments and
44 agencies, subject to the approval of the director of the budget, as
45 needed to accomplish the intent of this appropriation (21856).
46 Nonpersonal service (57050) ... 500,000 ............... (re. $305,000)",158,40.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21856|2022|500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,VESID Social Security Account - 22001,21734,2022,2719000,1782000,"9 For the administration of grants for specific programs including, but
10 not limited to, the workforce investment act.
11 Notwithstanding any inconsistent provision of law, a portion of this
12 appropriation may be suballocated to other state departments and
13 agencies, subject to the approval of the director of the budget, as
14 needed to accomplish the intent of this appropriation (21734).
15 Personal service (50000) ... 2,719,000 .............. (re. $1,782,000)",159,9.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21734|2022|2719000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,VESID Social Security Account - 22001,21713,2021,60384525,17040000,"19 By chapter 50, section 1, of the laws of 2021:
20 For the administration of grants for specific programs including, but
21 not limited to, vocational rehabilitation and supported employment.
22 Notwithstanding any inconsistent provision of law, a portion of this
23 appropriation may be suballocated to other state departments and
24 agencies, subject to the approval of the director of the budget, as
25 needed to accomplish the intent of this appropriation (21713).
26 Personal service (50000) ... 60,384,525 ............ (re. $17,040,000)",159,19.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21713|2021|60384525
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21852,2021,262659,131000,"10 By chapter 50, section 1, of the laws of 2021:
11 For expenses of contractual services for the rehabilitation of social
12 security disability beneficiaries (21852).
13 Contractual services (51000) ... 262,659 .............. (re. $131,000)",160,10.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21852|2021|262659
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21851,2022,3570000,65000,"13 For the administration of federal grants pursuant to various federal
14 laws including the library services technology act (LSTA).
15 Notwithstanding any inconsistent provision of law, a portion of this
16 appropriation may be suballocated to other state departments and
17 agencies, subject to the approval of the director of the budget, as
18 needed to accomplish the intent of this appropriation (21851).
19 Personal service (50000) ... 3,570,000 ................. (re. $65,000)",162,13.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21851|2022|3570000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21851,2021,3570000,150000,"38 For the administration of federal grants pursuant to various federal
39 laws including: the library services technology act (LSTA).
40 Notwithstanding any inconsistent provision of law, a portion of this
41 appropriation may be suballocated to other state departments and
42 agencies, subject to the approval of the director of the budget, as
43 needed to accomplish the intent of this appropriation (21851).
44 Personal service (50000) ... 3,570,000 ................ (re. $150,000)",162,38.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21851|2021|3570000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21851,2020,3570000,526000,"13 For the administration of federal grants pursuant to various federal
14 laws including: the library services technology act (LSTA).
15 Notwithstanding any inconsistent provision of law, a portion of this
16 appropriation may be suballocated to other state departments and
17 agencies, subject to the approval of the director of the budget, as
18 needed to accomplish the intent of this appropriation (21851).
19 Personal service (50000) ... 3,570,000 ................ (re. $526,000)",163,13.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21851|2020|3570000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21851,2019,3570000,705000,"23 By chapter 50, section 1, of the laws of 2019:
24 For the administration of federal grants pursuant to various federal
25 laws including: the library services technology act (LSTA).
26 Notwithstanding any inconsistent provision of law, a portion of this
27 appropriation may be suballocated to other state departments and
28 agencies, subject to the approval of the director of the budget, as
29 needed to accomplish the intent of this appropriation (21851).
30 Personal service (50000) ... 3,570,000 ................ (re. $705,000)",163,23.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21851|2019|3570000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21710,2024,152000,142000,"37 By chapter 50, section 1, of the laws of 2024:
38 For services and expenses of the office of higher education and the
39 professions program, including up to $5,700,000 for services and
40 expenses related to tenured teacher hearings pursuant to sections
41 3020-a and 3020-b of the education law (21710).
42 Travel (54000) ... 152,000 ............................ (re. $142,000)",163,37.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21710|2024|152000
EDUCATION DEPARTMENT,STATE OPERATIONS,General Fund,State Purposes Account - 10050,21710,2023,275000,52000,"31 By chapter 50, section 1, of the laws of 2023:
32 For administration of federal grants pursuant to various federal laws
33 including the Carl D. Perkins vocational and applied technology
34 education act (VTEA).
35 Notwithstanding any inconsistent provision of law, a portion of this
36 appropriation may be suballocated to other state departments and
37 agencies, subject to the approval of the director of the budget, as
38 needed to accomplish the intent of this appropriation (21710).
39 Personal service (50000) ... 275,000 ................... (re. $52,000)",164,31.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21710|2023|275000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21710,2022,275000,22000,"43 By chapter 50, section 1, of the laws of 2022:
44 For administration of federal grants pursuant to various federal laws
45 including the Carl D. Perkins vocational and applied technology
46 education act (VTEA).
47 Notwithstanding any inconsistent provision of law, a portion of this
48 appropriation may be suballocated to other state departments and
49 agencies, subject to the approval of the director of the budget, as
50 needed to accomplish the intent of this appropriation (21710).
AB
165 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 Personal service (50000) ... 275,000 ................... (re. $22,000)",165,43.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21710|2022|275000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21710,2024,28757000,5937000,"19 By chapter 50, section 1, of the laws of 2024:
20 For services and expenses related to licensure and disciplining
21 programs for the professions, and foreign and out-of-state medical
22 school evaluations (21710).
23 Personal service--regular (50100) ... 28,757,000 .... (re. $5,937,000)",165,19.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21710|2024|28757000
