agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key,program_purpose,program_category,recipient_name,recipient_type,recipients,statutory_references,has_transfer_authority,has_interchange_authority,transfer_targets,requires_approval,approval_authority,set_aside_amount,set_aside_purpose,percentage_allocations,time_limits,has_notwithstanding
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Solid Waste Account - 30452,25703,2017,1403000,1403000,"35 Environmental health for assessments, testing and actions including
36 but not limited to abatement to address suspected human exposure to
37 chemical, physical and microbiological agents, including contam-
38 inants in drinking water; including up to $500,000 for the
39 Clean-SweepNY program; and $1,000,000 to the State University of New
40 York at Stony Brook, directly or through its research foundation, to
41 support research development and any associated testing or pilot
42 projects towards the treatment of water to remove 1,4-dioxane; and
43 $500,000 to land banks to assist with lead abatement; and $2,000,000
44 for children's environmental health centers, including school and
45 community childhood lead exposure assessment conducted by such
46 centers and not more than $625,000 for programs to expand and
47 improve access to local, fresh, nutritional food to nutritionally
48 underserved neighborhoods in New York State through the Fresh
49 Connect Program (09EH17ER) (25703) ... 6,500,000 .. (re. $1,403,000)",302,35.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25703|2017|1403000,,education,children's environmental health center,,"[{""name"": ""children's environmental health center"", ""entity_type"": ""healthcare""}]",[],False,False,[],False,,,"the 39 Clean-SweepNY program; and $1,000,000 to the State University of New 40 York at Stony Brook, directly or through its research foundation, to 41 support research development and any associate...",[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Solid Waste Account - 30452,25702,2017,2000000,1495000,"50 Brownfield opportunity area grants as authorized pursuant to section
51 970-r of the general municipal law (09BO17ER) (25702) ..............
52 2,000,000 ......................................... (re. $1,495,000)",302,50.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25702|2017|2000000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Solid Waste Account - 30452,24817,2011,200000,1000,"28 Notwithstanding any law to the contrary, for assessment and recovery
29 of any natural resource damages (09RD11ER) (24817) .................
30 200,000 ............................................... (re. $1,000)",305,28.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24817|2011|200000,,,,,[],[],False,False,[],False,,,,[],[],True
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Solid Waste Account - 30452,24819,2009,450000,450000,"306 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Notwithstanding any law to the contrary, for the breast cancer and
2 environmental risk factors program at Cornell University (09BC09ER)
3 (24819) ... 450,000 ................................. (re. $450,000)",306,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24819|2009|450000,,environment,,,[],[],False,False,[],False,,,,[],[],True
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Solid Waste Account - 30452,24816,2009,1381000,88000,"4 By chapter 55, section 1, of the laws of 2009, as amended by chapter
5 502, section 5, of the laws of 2009:
6 Secondary materials regional marketing assistance and energy conserva-
7 tion services projects (09SM09ER) (24816) ..........................
8 1,381,000 ............................................ (re. $88,000)",306,4.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24816|2009|1381000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Solid Waste Account - 30452,24816,2007,8750000,1146000,"14 By chapter 55, section 1, of the laws of 2007:
15 For services and expenses of projects and purposes authorized by
16 section 92-s of the state finance law to receive funding from the
17 solid waste account in accordance with a programmatic and financial
18 plan to be approved by the director of the budget, including subal-
19 location to other state departments and agencies, according to the
20 following:
21 Secondary materials regional marketing assistance and energy conserva-
22 tion services projects (09SM07ER) (24816) ..........................
23 8,750,000 ......................................... (re. $1,146,000)",306,14.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24816|2007|8750000,For services and expenses of projects and purposes authorized by,environment,,,[],"[{""type"": ""state"", ""law_name"": ""state finance law"", ""section"": ""92-s"", ""full_citation"": ""section 92-s of the state finance law""}]",False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,Environmental Quality Protection Account - 30640,80906,1981,18,1269000,"315 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 ""Municipal Solid Waste Management Disbursements,"" and ""Park Lands
2 Disbursements.""
3 The director of the budget is hereby authorized to designate to the
4 state comptroller appropriations made from the capital projects fund
5 in accordance with the provisions of article fifty-one of the envi-
6 ronmental conservation law for the purposes heretofore specified.
7 The state comptroller shall at the commencement of each month certify
8 to the director of the budget, the chairman of the senate finance
9 committee, and the chairman of the assembly ways and means commit-
10 tee, the amounts disbursed from the appropriations designated by the
11 director of the budget for each of the purposes herein enumerated
12 for the month preceding such certification and such certifications
13 shall not exceed in the aggregate the moneys appropriated therefor
14 from the capital projects fund. A copy of each such certification
15 shall also be delivered to the public officers of the respective
16 state department or agency to which such capital projects fund
17 appropriations are made available (01371610) (80906) ...............
18 ................................................... (re. $1,269,000)",315,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|80906|1981|18,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,Environmental Quality Protection Account - 30640,24838,2000,10000000,382000,"24 By chapter 55, section 1, of the laws of 2000:
25 For state assistance payments for the state share of the costs of
26 environmental restoration projects in accordance with the provisions
27 of title 5 of article 56 of the environmental conservation law for
28 project costs, including costs incidental and appurtenant thereto
29 and for payment of reimbursements to the clean water/clean air
30 implementation fund for services and expenses of state departments
31 and agencies, including fringe benefits, hereinafter referred to as
32 ""Environmental Restoration Project Disbursements"". The moneys appro-
33 priated herein may be suballocated to other state departments and
34 agencies.
35 Notwithstanding the provisions of any general or special law, the
36 moneys hereby appropriated shall be available for environmental
37 restoration projects in accordance with title 5 of article 56 of the
38 environmental conservation law upon the issuance of a certificate of
39 approval of availability by the director of the division of the
40 budget.
41 The state comptroller shall at the commencement of each month certify
42 to the director of the division of the budget, the commissioner of
43 environmental conservation, the chairman of the senate finance
44 committee, and the chairman of the assembly ways and means committee
45 the amounts disbursed from this appropriation for ""Environmental
46 Restoration Project Disbursements"" for the month preceding such
47 certification (09BA00W5) (24838) ... 10,000,000 ..... (re. $382,000)",316,24.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24838|2000|10000000,,environment,,,[],[],True,False,"[""other state department""]",False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Environmental Quality Protection Account - 30640,81107,2022,6000000,1715000,"32 By chapter 54, section 1, of the laws of 2022:
33 For the maintenance and operation of various facilities and systems
34 including personal services, fringe benefits and indirect costs
35 (09FM22MO) (81107) ... 6,000,000 .................. (re. $1,715,000)",318,32.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|81107|2022|6000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Habitat Conservation and Access Account - 32217,24718,2023,1500000,317000,"3 By chapter 54, section 1, of the laws of 2023:
4 For services and expenses, including personal service, nonpersonal
5 service, fringe benefits and indirect costs related to management,
6 protection and restoration fish and wildlife habitat, and improve-
7 ment and development of public access for fish and wildlife related
8 recreation (09HC2354) (24718) ......................................
9 1,500,000 ........................................... (re. $317,000)",320,3.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24718|2023|1500000,"For services and expenses, including personal service, nonpersonal",environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Habitat Conservation and Access Account - 32217,24718,2022,1500000,437000,"10 By chapter 54, section 1, of the laws of 2022:
11 For services and expenses, including personal service, nonpersonal
12 service, fringe benefits and indirect costs related to management,
13 protection and restoration fish and wildlife habitat, and improve-
14 ment and development of public access for fish and wildlife related
15 recreation (09HC2254) (24718) ......................................
16 1,500,000 ........................................... (re. $437,000)",320,10.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24718|2022|1500000,"For services and expenses, including personal service, nonpersonal",environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Habitat Conservation and Access Account - 32217,25766,2024,4000000,4000000,"321 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 Green Certification for state forests, including suballocation to
2 other state departments and agencies (09LF2453) (25766) ............
3 4,000,000 ......................................... (re. $4,000,000)",321,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25766|2024|4000000,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Habitat Conservation and Access Account - 32217,25766,2023,4000000,4000000,"15 By chapter 54, section 1, of the laws of 2023:
16 For services and expenses, including personal service, nonpersonal
17 service, indirect costs and fringe benefits related to the steward-
18 ship of newly acquired and existing state lands, for the implementa-
19 tion of Unit Management Plans, costs related to invasive species
20 management activities and for the development and implementation of
21 Green Certification for state forests, including suballocation to
22 other state departments and agencies (09LF2353) (25766) ...
23 4,000,000 ......................................... (re. $4,000,000)",321,15.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25766|2023|4000000,"For services and expenses, including personal service, nonpersonal",environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Habitat Conservation and Access Account - 32217,25766,2021,4000000,1770000,"322 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 other state departments and agencies (09LF2153) (25766) ............
2 4,000,000 ......................................... (re. $1,770,000)",322,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25766|2021|4000000,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Habitat Conservation and Access Account - 32217,24851,1994,500000,297000,"28 By chapter 54, section 1, of the laws of 1994, as amended by chapter 55,
29 section 1, of the laws of 2004:
30 For the state's share of Federal Intermodal Surface Transportation
31 Efficiency Act enhancement program grants including personal
32 services, fringe benefits and indirect costs. No portion of this
33 appropriation shall be allocated until the commissioner of the
34 department of environmental conservation and the director of the
35 budget have determined that no other sources of funding, including
36 but not limited to natural resource damage claim settlements and
37 environmental protection fund appropriations, are available for this
38 purpose (09IT9453) (24851) ... 500,000 .............. (re. $297,000)",323,28.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24851|1994|500000,,transportation,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Forest Preserve Expansion Account - 31450,24852,1989,3450000,891000,"1 By chapter 54, section 1, of the laws of 1989, as amended by chapter 54,
2 section 3, of the laws of 1990:
3 For demolition of buildings at the former Edgewood Hospital site on
4 Long Island (09168953) (24852) ... 3,450,000 ........ (re. $891,000)",324,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24852|1989|3450000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Forest Preserve Expansion Account - 31450,24852,1987,6000000,2246000,"5 By chapter 54, section 1, of the laws of 1987, for:
6 Demolition of buildings at the former Edgewood Hospital site on Long
7 Island (09668753) (24852) ... 6,000,000 ........... (re. $2,246,000)",324,5.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24852|1987|6000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Forest Preserve Expansion Account - 31450,24847,2022,50000000,25000000,"33 By chapter 54, section 1, of the laws of 2022, as amended by chapter 54,
34 section 1, of the laws of 2023:
35 For the federal share of capital projects pursuant to lands and
36 forests resources purposes including the costs associated with the
37 acquisition of lands under the forest legacy program, including
38 suballocation to other state departments and agencies (09FL2253)
39 (24847) ... 50,000,000 ........................... (re. $25,000,000)",324,33.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24847|2022|50000000,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Federal Capital Account - 31364,24856,2023,1200000,1200000,"40 For replacement of vehicles and heavy duty construction equipment
41 (09EQ2351) (24856) ... 1,200,000 .................. (re. $1,200,000)",332,40.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24856|2023|1200000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Federal Capital Account - 31364,24856,2017,1000000,1000000,"26 By chapter 54, section 1, of the laws of 2017:
27 For replacement of vehicles and heavy duty construction equipment
28 (09EQ1751) (24856) ... 1,000,000 .................. (re. $1,000,000)",333,26.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24856|2017|1000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Federal Capital Account - 31364,24856,2016,1000000,1000000,"36 By chapter 55, section 1, of the laws of 2016:
37 For replacement of vehicles and heavy duty construction equipment
38 (09EQ1651) (24856) ... 1,000,000 .................. (re. $1,000,000)",333,36.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24856|2016|1000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Federal Capital Account - 31364,24856,2015,2750000,93000,"334 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 For replacement of vehicles and heavy duty construction equipment
2 (09EQ1551) (24856) ... 2,750,000 ..................... (re. $93,000)",334,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24856|2015|2750000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Federal Capital Account - 31364,24856,2014,2000000,519000,"19 By chapter 54, section 1, of the laws of 2014:
20 For replacement of vehicles and heavy duty construction equipment
21 (09EQ1451) (24856) ... 2,000,000 .................... (re. $519,000)",334,19.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24856|2014|2000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Federal Capital Account - 31364,24858,2013,750000,130000,"25 By chapter 54, section 1, of the laws of 2013:
26 For services and expenses, including personal services and fringe
27 benefits, for design and construction of department facilities
28 (09DF1351) (24858) ... 750,000 ...................... (re. $130,000)",334,25.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24858|2013|750000,"For services and expenses, including personal services and fringe",infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Financial Security Account - 32201,24858,2008,450000,150000,"6 For services and expenses, including personal services and fringe
7 benefits, for design and construction of department facilities
8 (09DF0851) (24858) ... 450,000 ...................... (re. $150,000)",335,6.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24858|2008|450000,"For services and expenses, including personal services and fringe",infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Financial Security Account - 32201,24858,2007,250000,6000,"13 For services and expenses, including personal services and fringe
14 benefits, for design and construction of department facilities
15 (09DF0751) (24858) ... 250,000 ........................ (re. $6,000)",335,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24858|2007|250000,"For services and expenses, including personal services and fringe",infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Financial Security Account - 32201,24858,2006,750000,13000,"16 By chapter 55, section 1, of the laws of 2006:
17 For services and expenses, including personal services and fringe
18 benefits, for design and construction of department facilities
19 (09DF0651) (24858) ... 750,000 ....................... (re. $13,000)",335,16.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24858|2006|750000,"For services and expenses, including personal services and fringe",infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Pure Waters Bond Fund Account - 30620,62036,1978,10850000,10850000,"362 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 _F_o_r__t_h_e__f_e_d_e_r_a_l__s_h_a_r_e__o_f__c_a_p_i_t_a_l__p_r_o_j_e_c_t_s__u_n_d_e_r_t_a_k_e_n__p_u_r_s_u_a_n_t__t_o__m_a_t_e_-
2 _r_i_a_l_s__m_a_n_a_g_e_m_e_n_t__r_e_s_o_u_r_c_e_s__p_u_r_p_o_s_e_s__i_n_c_l_u_d_i_n_g__s_u_b_a_l_l_o_c_a_t_i_o_n__t_o__o_t_h_e_r
3 _s_t_a_t_e__d_e_p_a_r_t_m_e_n_t_s__a_n_d__a_g_e_n_c_i_e_s__(_0_9_M_F_2_4_5_6_)__(_6_2_0_3_6_)_..................
4 _1_,_0_0_0_,_0_0_0_......................................... _(_r_e_.__$_1_,_0_0_0_,_0_0_0_)
5 _B_y__c_h_a_p_t_e_r__5_4_,__s_e_c_t_i_o_n__1_,__o_f__t_h_e__l_a_w_s__o_f__2_0_2_3_:
6 _F_o_r__t_h_e__f_e_d_e_r_a_l__s_h_a_r_e__o_f__c_a_p_i_t_a_l__p_r_o_j_e_c_t_s__u_n_d_e_r_t_a_k_e_n__p_u_r_s_u_a_n_t__t_o__m_a_t_e_-
7 _r_i_a_l_s__m_a_n_a_g_e_m_e_n_t__r_e_s_o_u_r_c_e_s__p_u_r_p_o_s_e_s__i_n_c_l_u_d_i_n_g__s_u_b_a_l_l_o_c_a_t_i_o_n__t_o__o_t_h_e_r
8 _s_t_a_t_e__d_e_p_a_r_t_m_e_n_t_s__a_n_d__a_g_e_n_c_i_e_s__(_0_9_M_F_2_3_5_6_)__(_6_2_0_3_6_)_..................
9 _3_,_0_0_0_,_0_0_0_......................................... _(_r_e_.__$_3_,_0_0_0_,_0_0_0_)
10 _W_A_T_E_R__R_E_S_O_U_R_C_E_S__(_C_C_P_)
11 _C_a_p_i_t_a_l__P_r_o_j_e_c_t_s__F_u_n_d_s__-__O_t_h_e_r
12 _C_a_p_i_t_a_l__P_r_o_j_e_c_t_s__F_u_n_d__-__3_0_0_0_0
13 _F_l_o_o_d__C_o_n_t_r_o_l__P_u_r_p_o_s_e
14 _B_y__c_h_a_p_t_e_r__5_4_,__s_e_c_t_i_o_n__1_,__o_f__t_h_e__l_a_w_s__o_f__2_0_2_4_:
15 _F_o_r__t_h_e__s_t_a_t_e_'_s__s_h_a_r_e__i_n_c_l_u_d_i_n_g__p_e_r_s_o_n_a_l__s_e_r_v_i_c_e_,__n_o_n_p_e_r_s_o_n_a_l__s_e_r_v_i_c_e_,
16 _f_r_i_n_g_e___b_e_n_e_f_i_t_s___a_n_d___i_n_d_i_r_e_c_t___c_o_s_t_s___o_f___v_a_r_i_o_u_s__s_h_o_r_e__p_r_o_t_e_c_t_i_o_n
17 _p_r_o_j_e_c_t_s__i_n_c_l_u_d_i_n_g__s_u_b_a_l_l_o_c_a_t_i_o_n___t_o___o_t_h_e_r___s_t_a_t_e___d_e_p_a_r_t_m_e_n_t_s___a_n_d
18 _a_g_e_n_c_i_e_s__(_0_9_W_1_2_4_6_3_)__(_2_4_8_8_0_)__._._.__1_,_7_0_0_,_0_0_0_......... _(_r_e_.__$_1_,_7_0_0_,_0_0_0_)
19 _F_o_r___v_a_r_i_o_u_s___n_e_w__a_n_d__e_x_i_s_t_i_n_g__f_l_o_o_d__p_r_o_t_e_c_t_i_o_n__p_r_o_j_e_c_t_s__i_n_c_l_u_d_i_n_g__t_h_e
20 _s_t_a_t_e__s_h_a_r_e__o_f__f_e_d_e_r_a_l__s_p_o_n_s_o_r_e_d__f_l_o_o_d___c_o_n_t_r_o_l___p_r_o_j_e_c_t_s_,___a_n_d___t_h_e
21 _m_a_i_n_t_e_n_a_n_c_e___o_f__e_x_i_s_t_i_n_g__f_l_o_o_d__c_o_n_t_r_o_l__p_r_o_j_e_c_t_s_;__f_o_r__c_o_a_s_t_a_l__e_r_o_s_i_o_n
22 _h_a_z_a_r_d__a_r_e_a__m_a_p_p_i_n_g__o_f__t_h_e__s_t_a_t_e_'_s__A_t_l_a_n_t_i_c__O_c_e_a_n___a_n_d___G_r_e_a_t___L_a_k_e_s
23 _c_o_a_s_t_l_i_n_e_s___a_n_d___t_h_e___s_t_a_t_e___s_h_a_r_e__o_f__c_o_s_t_s__a_s_s_o_c_i_a_t_e_d__w_i_t_h__m_a_t_c_h_i_n_g
24 _f_e_d_e_r_a_l__f_u_n_d_s__f_o_r__a__s_t_a_t_e_w_i_d_e__f_l_o_o_d__p_l_a_i_n__m_a_p__m_o_d_e_r_n_i_z_a_t_i_o_n__p_r_o_g_r_a_m_;
25 _f_o_r__t_h_e__s_t_a_t_e__s_h_a_r_e__o_f__c_o_s_t_s__a_s_s_o_c_i_a_t_e_d__w_i_t_h__t_h_e__i_n_s_t_a_l_l_a_t_i_o_n__a_n_d_/_o_r
26 _r_e_i_n_s_t_a_l_l_a_t_i_o_n_,__u_p_g_r_a_d_e_,__m_o_n_i_t_o_r_i_n_g__a_n_d__m_a_i_n_t_e_n_a_n_c_e__o_f___a___s_t_a_t_e_w_i_d_e
27 _n_e_t_w_o_r_k___o_f___s_t_r_e_a_m__f_l_o_w__g_a_u_g_e_s_,__i_n_c_l_u_d_i_n_g__p_e_r_s_o_n_a_l__s_e_r_v_i_c_e_,__n_o_n_p_e_r_-
28 _s_o_n_a_l__s_e_r_v_i_c_e_,__f_r_i_n_g_e__b_e_n_e_f_i_t_s__a_n_d__i_n_d_i_r_e_c_t__c_o_s_t_s_,__i_n_c_l_u_d_i_n_g___s_u_b_a_l_-
29 _l_o_c_a_t_i_o_n___t_o__o_t_h_e_r__s_t_a_t_e__d_e_p_a_r_t_m_e_n_t_s__a_n_d__a_g_e_n_c_i_e_s__(_0_9_F_L_2_4_6_3_)__(_2_4_8_8_1_)
30 _._._.__1_1_,_0_0_0_,_0_0_0_................................... _(_r_e_.__$_1_1_,_0_0_0_,_0_0_0_)
31 _F_o_r__a_n__a_d_v_a_n_c_e__p_a_y_m_e_n_t__b_y__t_h_e__s_t_a_t_e__f_o_r__t_h_e___l_o_c_a_l___c_o_s_t_s___o_f___v_a_r_i_o_u_s
32 _s_h_o_r_e__p_r_o_t_e_c_t_i_o_n__p_r_o_j_e_c_t_s_.__N_o__p_o_r_t_i_o_n__o_f__t_h_i_s__a_p_p_r_o_p_r_i_a_t_i_o_n__s_h_a_l_l__b_e
33 _a_v_a_i_l_a_b_l_e___u_n_t_i_l___t_h_e___r_e_s_p_e_c_t_i_v_e___m_u_n_i_c_i_p_a_l_i_t_y___h_a_s__e_n_t_e_r_e_d__i_n_t_o__a_n
34 _a_g_r_e_e_m_e_n_t__w_i_t_h__t_h_e__c_o_m_m_i_s_s_i_o_n_e_r__o_f__t_h_e__d_e_p_a_r_t_m_e_n_t___o_f___e_n_v_i_r_o_n_m_e_n_t_a_l
35 _c_o_n_s_e_r_v_a_t_i_o_n_,___a_n_d__s_u_c_h__a_g_r_e_e_m_e_n_t__i_s__a_p_p_r_o_v_e_d__b_y__t_h_e__d_i_r_e_c_t_o_r__o_f__t_h_e
36 _b_u_d_g_e_t__(_0_9_A_D_2_4_6_3_)__(_2_4_8_8_7_)__._._.__5_,_0_0_0_,_0_0_0_........... _(_r_e_.__$_5_,_0_0_0_,_0_0_0_)
37 _F_o_r__t_h_e__s_t_a_t_e_'_s__s_h_a_r_e__o_f__t_h_e__A_r_m_y__C_o_r_p_s__o_f__E_n_g_i_n_e_e_r_s__M_a_m_a_r_o_n_e_c_k__S_h_e_l_d_-
38 _r_a_k_e__F_l_o_o_d__R_i_s_k__M_a_n_a_g_e_m_e_n_t__P_r_o_j_e_c_t__(_0_9_M_A_2_4_6_3_)__(_2_4_6_9_8_) ..............
39 10,850,000 ....................................... (re. $10,850,000)",362,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62036|1978|10850000,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,Pure Waters Bond Fund Account - 30620,24884,2007,300000,261000,"23 By chapter 55, section 1, of the laws of 2007:
24 For various dam safety projects (09FD0763) (24884) ...................
25 300,000 ............................................. (re. $261,000)",366,23.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24884|2007|300000,,,,,[],[],False,False,[],False,,,,[],[],False
